stock_id,sw_industry,industryClassification
600000,J66货币金融服务,证监会行业分类
600001,,证监会行业分类
600002,,证监会行业分类
600003,,证监会行业分类
600004,G56航空运输业,证监会行业分类
600005,,证监会行业分类
600006,C36汽车制造业,证监会行业分类
600007,K70房地产业,证监会行业分类
600008,D46水的生产和供应业,证监会行业分类
600009,G56航空运输业,证监会行业分类
600010,C31黑色金属冶炼和压延加工业,证监会行业分类
600011,D44电力、热力生产和供应业,证监会行业分类
600012,G54道路运输业,证监会行业分类
600015,J66货币金融服务,证监会行业分类
600016,J66货币金融服务,证监会行业分类
600017,G55水上运输业,证监会行业分类
600018,G55水上运输业,证监会行业分类
600019,C31黑色金属冶炼和压延加工业,证监会行业分类
600020,G54道路运输业,证监会行业分类
600021,D44电力、热力生产和供应业,证监会行业分类
600022,C31黑色金属冶炼和压延加工业,证监会行业分类
600023,D44电力、热力生产和供应业,证监会行业分类
600025,D44电力、热力生产和供应业,证监会行业分类
600026,G55水上运输业,证监会行业分类
600027,D44电力、热力生产和供应业,证监会行业分类
600028,B07石油和天然气开采业,证监会行业分类
600029,G56航空运输业,证监会行业分类
600030,J67资本市场服务,证监会行业分类
600031,C35专用设备制造业,证监会行业分类
600032,D44电力、热力生产和供应业,证监会行业分类
600033,G54道路运输业,证监会行业分类
600035,G54道路运输业,证监会行业分类
600036,J66货币金融服务,证监会行业分类
600037,I63电信、广播电视和卫星传输服务,证监会行业分类
600038,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
600039,E48土木工程建筑业,证监会行业分类
600048,K70房地产业,证监会行业分类
600050,I63电信、广播电视和卫星传输服务,证监会行业分类
600051,F51批发业,证监会行业分类
600052,L72商务服务业,证监会行业分类
600053,J67资本市场服务,证监会行业分类
600054,N78公共设施管理业,证监会行业分类
600055,C35专用设备制造业,证监会行业分类
600056,F51批发业,证监会行业分类
600057,L72商务服务业,证监会行业分类
600058,F51批发业,证监会行业分类
600059,C15酒、饮料和精制茶制造业,证监会行业分类
600060,C39计算机、通信和其他电子设备制造业,证监会行业分类
600061,J67资本市场服务,证监会行业分类
600062,C27医药制造业,证监会行业分类
600063,C26化学原料和化学制品制造业,证监会行业分类
600064,K70房地产业,证监会行业分类
600065,,证监会行业分类
600066,C36汽车制造业,证监会行业分类
600067,C38电气机械和器材制造业,证监会行业分类
600068,,证监会行业分类
600069,,证监会行业分类
600070,,证监会行业分类
600071,C40仪器仪表制造业,证监会行业分类
600072,E48土木工程建筑业,证监会行业分类
600073,C13农副食品加工业,证监会行业分类
600074,,证监会行业分类
600075,C26化学原料和化学制品制造业,证监会行业分类
600076,C20木材加工和木、竹、藤、棕、草制品业,证监会行业分类
600077,,证监会行业分类
600078,C26化学原料和化学制品制造业,证监会行业分类
600079,C27医药制造业,证监会行业分类
600080,C27医药制造业,证监会行业分类
600081,C36汽车制造业,证监会行业分类
600082,F51批发业,证监会行业分类
600083,,证监会行业分类
600084,C15酒、饮料和精制茶制造业,证监会行业分类
600085,C27医药制造业,证监会行业分类
600086,,证监会行业分类
600087,,证监会行业分类
600088,R87广播、电视、电影和录音制作业,证监会行业分类
600089,C38电气机械和器材制造业,证监会行业分类
600090,,证监会行业分类
600091,,证监会行业分类
600092,,证监会行业分类
600093,,证监会行业分类
600094,K70房地产业,证监会行业分类
600095,J67资本市场服务,证监会行业分类
600096,C26化学原料和化学制品制造业,证监会行业分类
600097,A04渔业,证监会行业分类
600098,D44电力、热力生产和供应业,证监会行业分类
600099,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
600100,C39计算机、通信和其他电子设备制造业,证监会行业分类
600101,D44电力、热力生产和供应业,证监会行业分类
600102,,证监会行业分类
600103,C22造纸和纸制品业,证监会行业分类
600104,C36汽车制造业,证监会行业分类
600105,C38电气机械和器材制造业,证监会行业分类
600106,G54道路运输业,证监会行业分类
600107,C18纺织服装、服饰业,证监会行业分类
600108,A01农业,证监会行业分类
600109,J67资本市场服务,证监会行业分类
600110,C39计算机、通信和其他电子设备制造业,证监会行业分类
600111,C32有色金属冶炼和压延加工业,证监会行业分类
600112,,证监会行业分类
600113,L72商务服务业,证监会行业分类
600114,C33金属制品业,证监会行业分类
600115,G56航空运输业,证监会行业分类
600116,D44电力、热力生产和供应业,证监会行业分类
600117,C31黑色金属冶炼和压延加工业,证监会行业分类
600118,C39计算机、通信和其他电子设备制造业,证监会行业分类
600119,G54道路运输业,证监会行业分类
600120,J69其他金融业,证监会行业分类
600121,B06煤炭开采和洗选业,证监会行业分类
600122,,证监会行业分类
600123,B06煤炭开采和洗选业,证监会行业分类
600125,G53铁路运输业,证监会行业分类
600126,C31黑色金属冶炼和压延加工业,证监会行业分类
600127,C13农副食品加工业,证监会行业分类
600128,F51批发业,证监会行业分类
600129,C27医药制造业,证监会行业分类
600130,C39计算机、通信和其他电子设备制造业,证监会行业分类
600131,I65软件和信息技术服务业,证监会行业分类
600132,C15酒、饮料和精制茶制造业,证监会行业分类
600133,N77生态保护和环境治理业,证监会行业分类
600135,C26化学原料和化学制品制造业,证监会行业分类
600136,R87广播、电视、电影和录音制作业,证监会行业分类
600137,C18纺织服装、服饰业,证监会行业分类
600138,L72商务服务业,证监会行业分类
600139,,证监会行业分类
600141,C26化学原料和化学制品制造业,证监会行业分类
600143,C29橡胶和塑料制品业,证监会行业分类
600145,,证监会行业分类
600146,,证监会行业分类
600148,C36汽车制造业,证监会行业分类
600149,D44电力、热力生产和供应业,证监会行业分类
600150,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
600151,C38电气机械和器材制造业,证监会行业分类
